event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
1,SuperFight Anime edition,Y,11/11/2016 1:00 PM,11/11/2016 3:00 PM,Card Game,,,Like to watch anime and like to argue which character would win in a fight then pick your character and equipment and let the fight begin.,,Gary Utecht,,,,,Gaming Table 1,,,,,,,,,,y
10,Super Smash Bros Melee Tournament,Y,11/12/2016 6:00 PM,11/12/2016 9:00 PM,Video Game,,,"Super Smash Bros 4 and Super Smash Bros Melee singles tournament. Double elimination, standard tournament rules apply. &nbsp;See the following bracket :&nbsp;<a href=""http://challonge.com/MeleeNanoCon"" target=""_blank"">http://challonge.com/MeleeNanoCon</a>",,Alex Van Keulen,,,,,Console Projector 1,,,,,,,,E-Sports Club,,y
11,Virtual Reality Demo,Y,11/12/2016 9:00 AM,11/13/2016 10:00 AM,Virtual Reality,,,"I would host a demo of Virtual Reality games using the HTC vive and Oculus Rift. Ideally, I would have a space of about 20ft by 20ft, to allow clearance for movement within the virtual space. I can work with less, preferably no less than 9x9 ft for the playspace and a separate table to host my computer/monitor/sign up sheets. I would have a schedule with sign up sheets and various game options for attendees to try out. I would host two stations, one sitting experience at the table with my desktop (and laptop) and another in the open space cleared for VR play using the HTC vive. I would have time slots of 15 minutes per person, so I could host about 8 people per hour, one on the seated Rift experience, one on the Vive movement experience.",,Chris Andersen,,,,,Theater,,,,,,,,,,y
12,Hero Quest,Y,11/12/2016 10:00 AM,11/12/2016 12:00 PM,Board Game,,,"Enter the World of Hero Quest...If You Dare! It's like no other game you've ever played! Dark caverns. Gory monsters. Deadly traps...and worse! Once you enter the mysterious underground world of Hero Quest, there's no turning back. Which daring hero will you be? THE BARBARIAN: The mightiest warrior! Few can match him in mortal combat! THE ELF: A proud champion with fighting skills matched only by his magic! THE WIZARD: A master of sorcery. His knowledge and use of magic is unrivaled. THE DWARF: A fearless fighter with a unique ability to disarm traps. Your first Quest is about to begin! Will the evil forces of doom be stopped? Will the land be saved from destruction? It's all up to you. Good luck!",,,,,,,Gaming Table 1,,,,,,,,,,y
13,Settlers of America: Trails to Rails,Y,11/12/2016 1:00 PM,11/12/2016 3:00 PM,Board Game,,,"The 19th Century has arrived and America is heading west. Wagon trains form on the frontier. Settlers seeking fresh lives and opportunities strike out to tame wild lands and build new cities. These new cities rely on young railroads for vital goods. Trails become rails and create great wealth. While the crowded East still offers options, its resources dwindle. Look west to make your fortune. Smart money seeks rich, unclaimed land and hungry new markets. Finance your settlers as they head west to build capitals of tomorrow. Link these cities with rails of steel. Operate your railroad to supply the townsfolk with goods. Go west. Settle the wide, open land. Claim your destiny. Settlers of America, Trails to Rails utilizes the simple, fun Catan hex-tile grid to map the young United States. Collect and trade resources in order to purchase and move settlers, build cities, lay rails and acquire and move trains. Create rail links to acquire gold, which lets you buy resources and use opponents' rails. Use trains to distribute goods to rival cities. But, as your settlers populate the West, they deplete the resources of the East. Still, your options always abound.",,,,,,,Gaming Table 1,,,,,,,,,,y
14,Closet Cosplay with Cassandra Rain,Y,11/12/2016 2:00 PM,11/12/2016 3:00 PM,Panel,,,Closet cosplay is a panel that focuses on great ways to save money while still portraying characters you love. During this hour Cassandra Rain will have many different examples of closet cosplay she has put together. Come talk tips with her and hopefully get inspired to start cosplaying!,,Cassandra Nixon,,,,,Gaming Table 3,,,,,,,,Cassandra Rain,,y
15,D&D Adventures League DDAL 4-10 The Artifact (Level 5-10),Y,11/10/2016 1:00 PM,11/10/2016 5:00 PM,Role Playing,,,An expedition to the Amber Temple reveals another major minion of the enemy and uncovers a secret weapon that may help defeat them. Part ten of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
16,D&D Adventures League DDAL 4-11 The Donjon (Level 5-10)),Y,11/10/2016 7:00 PM,11/10/2016 11:00 PM,Role Playing,,,The village of Ora?nou is panicked when a group of Bloodhand orcs appear at the edge of the woods. They bring news and an unusual request that reveals a new foe. Part eleven of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
17,D&D Adventures League DDAL 4-12 The Raven (Level 5-10),Y,11/11/2016 9:00 AM,11/11/2016 1:00 PM,Role Playing,,,The Bloodhand orcs have a prisoner that may hold the answers to the strange goings on and the key to stopping the enemy. Now you just have to convince them to hand the prisoner over. Part twelve of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
18,D&D Adventures League DDAL 4-13 The Horsemen (Level 5-10),Y,11/11/2016 2:00 PM,11/11/2016 6:00 PM,Role Playing,,,The unexpected ally imparts the secret you have been searching for and now only one more puppet remains before you can finally face the enemy. Unfortunately your allies begin to pay the price for your interference in the enemy's plans. Part thirteen of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
19,D&D Adventuers League DDAL 4-14 The Dark Lord (Level 5-10),Y,11/11/2016 7:00 PM,11/11/2016 11:00 PM,Role Playing,,,"The enemy is revealed, but time is short and if you are not successful in your mission to Mount Baratok, love will never die. Part fourteen and the finale of Misty Fortunes and Absent Hearts. Level 5-10",,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
2,Game of Thrones Board Game,Y,11/13/2016 12:00 PM,11/13/2016 3:00 PM,Board Game,,,"Lead one of six of the most iconic families of Westeros in their bid to gain control of the Iron Throne, no matter what it takes.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,y
20,D&D Adventures League DDEX 3-16 Assault on Maerimydra (Level 11-16),Y,11/12/2016 9:00 AM,11/12/2016 5:00 PM,Role Playing,,,"The time has come for the brave and the bold to put an end to the machinations of Maerimydra's demonic occupiers and their fiendish fire giant ruler. This will be no mean feat; the city is a cesspit of corruption and madness. You will have help, however, as an unlikely group of allies have gathered to your side in the Underdark beneath Faer&ucirc;n. Danger, glory, and redemption await those brave enough to seize it. Level 11-16",,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
21,D&D Adventures League DDEX 2-3 The Drowned Tower (Level 5-10),Y,11/12/2016 7:00 PM,11/12/2016 11:00 PM,Role Playing,,,"You are approached by someone claiming to be a member of the Brotherhood of the Cloak investigating unusual incidents involving some of his brethren. Discretion is vital, as there is rumored to be a link between the denizens of the Tower of Arcane Might and one of the elemental cults. Can you uncover the truth? Level 5-10",,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
22,D&D Adventures League DDEX 2-13 The Howling Void (Level 5-10),Y,11/13/2016 9:00 AM,11/13/2016 1:00 PM,Role Playing,,,"A bastion of the Cult of the Howling Wind has been located beneath the Monastery of the Yellow Rose in the bowels of the Earthspur Mountains. In order to thwart the cult's plans for Mulmaster's destruction, you must delve into the depths and quell the storm within. While their winds still blow, none in Mulmaster are truly safe. Level 5-10",,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
23,D&D Adventures League CORE 1-1 A Scream in the Night (Level 1-4),Y,11/11/2016 9:00 AM,11/11/2016 1:00 PM,Role Playing,,,"Melvaunt is a city of merchants and metalsmiths. The docks are constantly filled with ships from Hillsfar, Mulmaster, and more distant ports. The northern coast of the Moonsea is an inhospitable place, and its people have a reputation for being rough and unfriendly. But they don't go around murdering one another in the streets. At least, not usually. Was that a scream you just heard? Part One of The Chaos in Melvaunt. Level 1-4",,Russell Engel - Local Coordinator,,,,,RPGA Table 3,,,,,,,,,,y
24,D&D Adventures League CORE 1-2 A Cog in the Wheel (Level 1-4),Y,11/11/2016 2:00 PM,11/11/2016 6:00 PM,Role Playing,,,"With the identity of a murderer confirmed, heroes are needed to track it down to its home. As it turns out, it might be a longer journey than first imagined.<br /> Part Two of The Chaos in Melvaunt. Level 1-4",,Russell Engel - Local Coordinator,,,,,RPGA Table 3,,,,,,,,,,y
25,D&D Adventures League CORE 1-3 A Hole in the World,Y,11/11/2016 7:00 PM,11/11/2016 11:00 PM,Role Playing,,,Threats from outside Melvaunt and within push heroes to the brink as a terrified populace counts on the bravery of a few heroes to avert total disaster.<br /> Part Three of The Chaos in Melvaunt. Level 1-4,,Russell Engel - Local Coordinator,,,,,RPGA Table 3,,,,,,,,,,y
26,D&D Adventures League PAXW2016 Cloud Giant's Bargain (Level 5-7),Y,11/12/2016 9:00 AM,11/12/2016 1:00 PM,Role Playing,,,"The renowned adventuring company Acquisitions Inc. hires you to infiltrate a castle--but not just any castle. This is a flying fortress built by the cloud giant Count Stratovan, who is currently preparing to destroy the Sword Coast. Your mission is to meet with his son, who claims to want to prevent the war and establish peace between the giants and the small folk. If you can learn whether the son can be trusted, discover the secrets of the castle, and... well, survive, you too can earn acclaim with Acquisitions Inc.! Level 5-7",,Russell Engel - Local Coordinator,,,,,RPGA Table 3,,,,,,,,,,y
27,D&D Adventures League DDEX 1-12 Raiders of the Twilight Marsh (Level 5-10),Y,11/12/2016 2:00 PM,11/12/2016 6:00 PM,Role Playing,,,"A black dragon's treasure horde has been located in the Twilight Marsh, and within it are secrets that hold interest to the factions. With the dragon marauding over the countryside, the horde is left unguarded. Now is the time to plunder its lair! An adventure for 5th-10th level characters.",,Russell Engel - Local Coordinator,,,,,RPGA Table 3,,,,,,,,,,y
28,Smash 4 Tournament,Y,11/12/2016 6:00 PM,11/13/2016 12:00 AM,Video Game,,,Tournament of smash for with a prize pool,,Riley Taborda,,,,,Console Projector 2,,,,,,,,E-Sports,,y
29,Cardfight!! Vanguard Demo,Y,11/11/2016 2:00 PM,11/11/2016 4:00 PM,Card Game,,,"Learn to play the anime-based trading card game Cardfight!! Vanguard. The official website gives it the description :""On a planet much like the Earth called &acirc;&euro;&oelig;Cray&acirc;&euro;ù, you battle your opponent with the help of your units. Cardfighters become Vanguards, and lead their units towards victory!"" No cards are necessary for the demo though, if you have a deck even better!<br /> <br /> http://cf-vanguard.com/en/",,Patrick McGowan,,,,,Gaming Table 3,,,,,,,,,,y
3,Twilight Imperium All Night Long,Y,11/11/2016 10:00 PM,11/12/2016 8:00 AM,Board Game,,,"Twilight Imperium plus the expansion Shattered Empire. We will be starting at 10pm on Friday night, and playing until we have a winner. If you plan to join us for the event, be prepared to be up all night with a very complicated galactic conquest board game. Races of the galaxy will be chosen randomly, and we will discuss what features of the expansion we will use after all players are present. Stay up all night with this unique game, and get more Nanocon in your system this year.",,Lewis Bundy,,,,,Gaming Table 5,,,,,,,,,,y
30,Setup,Y,11/10/2016 3:00 PM,11/10/2016 5:00 PM,Tearing down,,,Set up for Nanocon - doors open at 5pm!,,Rachel Groth,,,,,General Gaming Area,,,,,,,,Nanocon NPC,,y
31,D&D Adventurer's League 5-1 Treasure of the Broken Hoard,Y,11/11/2016 9:00 AM,11/11/2016 1:00 PM,Role Playing,,,"A famous relic hunter seeks adventurers to help her find caches of treasure hidden by the now-<br /> defeated followers of the Cult of the Dragon.<br /> <br /> Her maps and notes may lead the way to great wealth&acirc;&euro;""or a terrible death.<br /> <br /> And do other parties have designs on the treasure as well?<br /> <br /> Five 1-Hour Mini-Adventures for 1st & 2nd Level Characters",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
32,D&D Adventurer's League 5-2 The Black Road,Y,11/11/2016 2:00 PM,11/11/2016 6:00 PM,Role Playing,,,"Caravans are having a difficult time getting through to Parnast via the Black Road.<br /> <br /> Organized attacks by orcs and other monstrous humanoids working in concert with one another have folks baffled. Little do they know that an unusually intelligent hill giant, going by the name of Bad Fruul is to blame.<br /> <br /> SEER has sent her emissary Hsing, to task your group to accompany a caravan with a very special cargo destined for the Shrine of Axes in Parnast, and to figure out who is responsible.<br /> <br /> A Two Hour Adventure for 1st-4th Level Characters",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
33,D&D Adventurer's League 5-3 Uninvited Guests,Y,11/11/2016 7:00 PM,11/11/2016 11:00 PM,Role Playing,,,"The Shrine of the Axes has been restored and Raggnar Redtooth, who previously conspired with dragon cultists, is trying to restore his reputation in Parnast by sponsoring a feast.<br /> <br /> There is just one thing he needs, meat for his feast. Game is supposed to be plentiful in the Weathercote Wood, but the townsfolk are all busy with their own work, and the minions of Bad Fruul are still out there causing trouble.<br /> <br /> What can go wrong on a simple hunt?<br /> <br /> A Two-Hour Adventure for 1st-4th Level Characters",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
34,D&D Adventurer's League 5-4 In Dire Need,Y,11/12/2016 10:00 AM,11/12/2016 1:00 PM,Role Playing,,,"An expedition of dwarf warriors from Citadel Adbar finds itself isolated and besieged by Ice Spire ogres and their allies. They require immediate relief or they risk being destroyed to a dwarf. SEER has directed you to their location in the hopes that you can rescue the dwarves and save their precious cargo, a tablet bearing secrets of ancient rune magic.",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
35,D&D Adventurer's League 5-5 A Dish Best Served Cold,Y,11/13/2016 10:00 AM,11/13/2016 1:00 PM,Role Playing,,,"Among the Story of Stagwick, giants are a recurring theme, but a long-standing peace with giant-kind is now threatened as a patrol of Blood Riders spark a feud with a local tribe of giants. With word of strange activity coming from the Ice Spires, Good King Hartwick can&acirc;&euro;&trade;t be too careful. Can you quench the giants&acirc;&euro;&trade;s thirst for revenge?<br /> <br /> For character's level 5-10",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
